completed | 00001_amaru | 余る | general | godan verb
completed | 00002_amu | 編む | general | godan verb
completed | 00003_anmari | あんまり | general | adverb
completed | 00004_aogu | 扇ぐ | general | godan verb
completed | 00005_appu | アップ | general | noun; suffix
completed | 00007_auto | アウト | general | noun; na-adjective
completed | 00008_baggu | バッグ | general | noun
completed | 00009_baiorin | バイオリン | general | noun
completed | 00010_banchi | 番地 | general | noun
completed | 00013_benchi | ベンチ | general | noun
completed | 00014_biyou | 美容 | general | noun
completed | 00015_bonchi | 盆地 | general | noun
completed | 00016_booi | ボーイ | general | noun
completed | 00018_booto | ボート | general | noun
completed | 00021_bunpu | 分布 | general | noun
completed | 00022_bureeki | ブレーキ | general | noun
completed | 00023_bushu | 部首 | general | noun
completed | 00024_chaimu | チャイム | general | noun
completed | 00026_chiizu | チーズ | general | noun
completed | 00027_chijimu | 縮む | general | godan verb
completed | 00029_chikajika | 近々 | general | adverb
completed | 00030_chikau | 誓う | general | godan verb
completed | 00032_daiya | ダイヤ | general | noun
completed | 00034_damu | ダム | general | noun
completed | 00035_daun | ダウン | general | noun; suffix
completed | 00038_douka | 銅貨 | general | noun
completed | 00040_fubuki | 吹雪 | general | noun
completed | 00042_fugou | 符号 | general | noun
completed | 00043_fuketsu | 不潔 | general | na-adjective, noun
completed | 00045_funka | 噴火 | general | noun
completed | 00049_fuun | 不運 | general | noun, na-adjective
completed | 00050_fuzoku | 附属 | general | noun, no-adjective
completed | 00052_gaibu | 外部 | general | noun, no-adjective
completed | 00053_gakka | 学科 | general | noun
completed | 00056_gakunen | 学年 | general | noun
completed | 00057_gaman | 我慢 | general | noun, suru verb
completed | 00058_gamu | ガム | general | noun
completed | 00060_gehin | 下品 | general | na-adjective / noun
completed | 00061_geinou | 芸能 | general | noun
completed | 00063_gendo | 限度 | general | noun
completed | 00065_genni | 現に | general | adverb
completed | 00066_genri | 原理 | general | noun
completed | 00067_genshi | 原始 | general | noun / no-adjective
completed | 00070_getsumatsu | 月末 | general | noun
completed | 00071_gishiki | 儀式 | general | noun
completed | 00073_gomu | ゴム | general | noun
completed | 00074_goraku | 娯楽 | general | noun
completed | 00075_gurando | グランド | general | noun
completed | 00077_guusuu | 偶数 | general | noun
completed | 00078_gyouji | 行事 | general | noun
completed | 00081_hagasu | 剥がす | general | godan verb
completed | 00082_hahen | 破片 | general | noun
completed | 00083_haiku | 俳句 | general | noun
completed | 00084_haitatsu | 配達 | general | noun; suru-verb
completed | 00086_hakki | 発揮 | general | noun
completed | 00088_hanji | 判事 | general | noun
completed | 00089_hanko | 判子 | general | noun
completed | 00090_hansamu | ハンサム | general | na-adjective; noun
completed | 00093_hasu | 斜 | general | noun, na-adjective
completed | 00094_hau | 這う | general | godan verb
completed | 00096_heiya | 平野 | general | noun
completed | 00098_hibiki | 響き | general | noun
completed | 00099_hibiku | 響く | general | godan verb
completed | 00102_hineru | 捻る | general | godan verb
completed | 00103_hiniku | 皮肉 | general | noun, na-adjective
completed | 00105_hirosa | 広さ | general | noun
completed | 00108_ho | 〜歩 | general | suffix, counter
completed | 00113_hoomu | ホーム | general | noun
completed | 00114_horu | 彫る | general | godan verb
completed | 00115_hosu | 干す | general | godan verb
completed | 00117_igi | 意義 | general | noun
completed | 00120_inku | インク | general | noun
completed | 00121_jiei | 自衛 | general | noun / suru-verb
completed | 00122_jiin | 寺院 | general | noun
completed | 00123_jiinzu | ジーンズ | general | noun
completed | 00124_jikani | 直に | general | adverb
completed | 00125_jimen | 地面 | general | noun
completed | 00128_jisoku | 時速 | general | noun
completed | 00130_kaa | カー | general | noun
completed | 00131_kachi | 価値 | general | noun
completed | 00132_kadai | 課題 | general | noun
completed | 00133_kagiri | 限り | general | noun
completed | 00135_kaihou | 解放 | general | noun, suru-verb
completed | 00136_kaiketsu | 解決 | general | noun, suru verb
completed | 00137_kaisei | 快晴 | general | noun
completed | 00138_kaisetsu | 解説 | general | noun, suru-verb
completed | 00139_kaisuu | 回数 | general | noun
completed | 00141_kaiten | 回転 | general | noun, suru-verb
completed | 00142_kaitou | 回答 | general | noun, suru-verb
completed | 00144_kaizen | 改善 | general | noun, suru verb
completed | 00145_kaizou | 改造 | general | noun, suru-verb
completed | 00148_kaketsu | 可決 | general | noun, suru verb
completed | 00149_kakine | 垣根 | general | noun
completed | 00150_kakitome | 書留 | general | noun
completed | 00153_kakou | 下降 | general | noun, suru verb
completed | 00155_kakuchi | 各地 | general | noun
completed | 00156_kakudo | 角度 | general | noun
completed | 00158_kakunin | 確認 | general | noun, suru verb
completed | 00159_kakuritsu | 確率 | general | noun
completed | 00160_kakuu | 架空 | general | noun, na-adjective
completed | 00161_kamisama | 神様 | general | noun
completed | 00163_kamoku | 科目 | general | noun
completed | 00165_kamotsu | 貨物 | general | noun
completed | 00166_kanban | 看板 | general | noun
completed | 00167_kandou | 感動 | general | noun, suru verb
completed | 00169_kangeki | 感激 | general | noun, suru-verb
completed | 00170_kanja | 患者 | general | noun
completed | 00171_kanjou | 感情 | general | noun
completed | 00172_kanki | 換気 | general | noun, suru verb
completed | 00173_kankou | 観光 | general | noun, suru verb
completed | 00174_kankyou | 環境 | general | noun
completed | 00177_kanren | 関連 | general | noun, suru verb
completed | 00178_kanri | 管理 | general | noun, suru verb
completed | 00179_kansai | 関西 | general | noun
completed | 00180_kansetsu | 間接 | general | noun, no-adjective
completed | 00183_kansoku | 観測 | general | noun, suru-verb
completed | 00184_kansou | 乾燥 | general | noun, suru verb, na-adjective
completed | 00185_kantoku | 監督 | general | noun, suru verb
completed | 00186_kantou | 関東 | general | noun
completed | 00187_kanzume | 缶詰 | general | noun
completed | 00188_kaoku | 家屋 | general | noun
completed | 00189_kaori | 香り | general | noun
completed | 00194_kashitsu | 過失 | general | noun
completed | 00196_kasho | 箇所 | general | noun, counter
completed | 00198_kasoku | 加速 | general | noun, suru verb
completed | 00200_katamuku | 傾く | general | godan verb
completed | 00201_katsudou | 活動 | general | noun, suru verb
completed | 00202_katsuji | 活字 | general | noun
completed | 00203_kazei | 課税 | general | noun, suru verb
completed | 00206_kehai | 気配 | general | noun
completed | 00208_keibi | 警備 | general | noun / suru-verb
completed | 00209_keido | 経度 | general | noun
completed | 00210_keiko | 稽古 | general | noun, suru verb
completed | 00211_keishiki | 形式 | general | noun
completed | 00212_keito | 毛糸 | general | noun
completed | 00213_keizoku | 継続 | general | noun, suru-verb
completed | 00214_kengaku | 見学 | general | noun, suru-verb
completed | 00215_kenkyo | 謙虚 | general | na-adjective
completed | 00220_kiban | 基盤 | general | noun
completed | 00224_kigou | 記号 | general | noun
completed | 00225_kigyou | 企業 | general | noun
completed | 00226_kihon | 基本 | general | noun
completed | 00227_kiji | 記事 | general | noun
completed | 00228_kijun | 基準 | general | noun
completed | 00229_kikan | 期間 | general | noun
completed | 00230_kikin | 飢饉 | general | noun
completed | 00231_kikou | 気候 | general | noun
completed | 00232_kinen | 記念 | general | noun, suru verb
completed | 00234_kioku | 記憶 | general | noun, suru verb
completed | 00235_kion | 気温 | general | noun
completed | 00236_kiritsu | 規律 | general | noun
completed | 00238_kitai | 期待 | general | noun, suru verb
completed | 00239_kiyoi | 清い | general | i-adjective
completed | 00241_koodo | コード | general | noun
completed | 00242_koten | 古典 | general | noun / no-adjective
completed | 00243_koudo | 高度 | general | noun / na-adjective
completed | 00244_kouji | 工事 | general | noun / suru-verb
completed | 00245_koumu | 公務 | general | noun
completed | 00246_kousa | 交差 | general | noun / suru-verb
completed | 00247_kousui | 香水 | general | noun
completed | 00248_kubun | 区分 | general | noun, suru verb
completed | 00250_kufuu | 工夫 | general | noun, suru verb
completed | 00251_kuiki | 区域 | general | noun
completed | 00252_kujou | 苦情 | general | noun
completed | 00253_kuriimu | クリーム | general | noun
completed | 00255_kushin | 苦心 | general | noun, suru verb
completed | 00256_kuusou | 空想 | general | noun, suru-verb
completed | 00258_kyaputen | キャプテン | general | noun
completed | 00259_kyoka | 許可 | general | noun, suru verb
completed | 00260_kyouka | 強化 | general | noun, suru-verb
completed | 00261_kyouryoku | 協力 | general | noun, suru verb
completed | 00265_maaketto | マーケット | general | noun
completed | 00267_maiku | マイク | general | noun
completed | 00268_mainasu | マイナス | general | noun; na-adjective
completed | 00271_masatsu | 摩擦 | general | noun
completed | 00272_massaaji | マッサージ | general | noun; suru-verb
completed | 00273_masutaa | マスター | general | noun; suru-verb
completed | 00274_memo | メモ | general | noun, suru verb
completed | 00276_meyasu | 目安 | general | noun
completed | 00277_mi | 未〜 | general | prefix
completed | 00278_mibun | 身分 | general | noun
completed | 00279_mihon | 見本 | general | noun
completed | 00280_miman | 未満 | general | noun, suffix
completed | 00282_minoru | 実る | general | godan verb
completed | 00289_momu | 揉む | general | godan verb
completed | 00290_monji | 文字 | general | noun
completed | 00292_moru | 盛る | general | godan verb
completed | 00293_moshikasuruto | もしかすると | general | adverb
completed | 00295_moyooshi | 催し | general | noun
completed | 00297_murasaki | 紫 | general | noun, no-adjective
completed | 00298_mure | 群れ | general | noun
completed | 00299_mushiba | 虫歯 | general | noun
completed | 00300_musuu | 無数 | general | noun, no-adjective
completed | 00301_myougonichi | 明後日 | general | noun, adverb
completed | 00302_namiki | 並木 | general | noun
completed | 00303_naname | 斜め | general | noun / no-adjective
completed | 00305_nao | なお | general | adverb; conjunction
completed | 00306_necchuu | 熱中 | general | noun; suru-verb
completed | 00309_nendo | 年度 | general | noun
completed | 00312_nerai | 狙い | general | noun
completed | 00315_nibui | 鈍い | general | i-adjective
completed | 00321_niwaka | 俄 | general | na-adjective / noun
completed | 00323_nonki | 呑気 | general | na-adjective
completed | 00324_noo | ノー | general | noun; interjection
completed | 00325_noudo | 濃度 | general | noun
completed | 00326_nuu | 縫う | general | godan verb
completed | 00328_ogamu | 拝む | general | godan verb
completed | 00329_oginau | 補う | general | godan verb
completed | 00332_on | 御〜 | general | prefix
completed | 00333_ondo | 温度 | general | noun
completed | 00338_paipu | パイプ | general | noun
completed | 00339_pairotto | パイロット | general | noun
completed | 00340_pasu | パス | general | noun
completed | 00341_pasupooto | パスポート | general | noun
completed | 00342_penki | ペンキ | general | noun
completed | 00343_pikunikku | ピクニック | general | noun
completed | 00344_pin | ピン | general | noun
completed | 00345_puran | プラン | general | noun
completed | 00346_purasu | プラス | general | noun; na-adjective
completed | 00347_purasuchikku | プラスチック | general | noun
completed | 00348_raberu | ラベル | general | noun
completed | 00349_rai | 来〜 | general | prefix
completed | 00350_raitaa | ライター | general | noun
completed | 00352_reberu | レベル | general | noun
completed | 00353_roketto | ロケット | general | noun
completed | 00355_saishuu | 採集 | general | noun, suru-verb
completed | 00356_sakaba | 酒場 | general | noun
completed | 00357_sakari | 盛り | general | noun
completed | 00358_sakasa | 逆さ | general | noun / no-adjective
completed | 00359_sasuga | 流石 | general | adverb / na-adjective
completed | 00360_setsu | 説 | general | noun
completed | 00363_shihei | 紙幣 | general | noun
completed | 00365_shikichi | 敷地 | general | noun
completed | 00366_shiku | 敷く | general | godan verb
completed | 00368_shinya | 深夜 | general | noun / no-adjective
completed | 00370_shiritsu | 私立 | general | noun / no-adjective
completed | 00373_shitei | 指定 | general | noun / suru-verb
completed | 00375_shoho | 初歩 | general | noun / no-adjective
completed | 00376_shoku | 職 | general | noun
completed | 00377_shugo | 主語 | general | noun
completed | 00378_sokkuri | そっくり | general | adverb, na-adjective
completed | 00380_sonouchi | そのうち | general | adverb
completed | 00384_soru | 剃る | general | godan verb
completed | 00385_suiji | 炊事 | general | noun / suru-verb
completed | 00387_suiso | 水素 | general | noun
completed | 00388_sukeeto | スケート | general | noun, suru-verb
completed | 00389_sukima | 隙間 | general | noun
completed | 00393_sutaa | スター | general | noun
completed | 00394_sutando | スタンド | general | noun
completed | 00398_tadachini | 直ちに | general | adverb
completed | 00400_taihan | 大半 | general | noun; adverb
completed | 00401_taipuraitaa | タイプライター | general | noun
completed | 00402_tanbo | 田んぼ | general | noun
completed | 00404_teru | 照る | general | godan verb
completed | 00407_ton | トン | general | noun; counter
completed | 00408_toreeningu | トレーニング | general | noun; suru-verb
completed | 00409_totsuzen | 突然 | general | adverb, no-adjective
completed | 00410_tsubusu | 潰す | general | godan verb
completed | 00412_uisukii | ウイスキー | general | noun
completed | 00413_uku | 浮く | general | godan verb
completed | 00414_urami | 恨み | general | noun
completed | 00416_uwa | 上〜 | general | prefix
completed | 00417_uyamau | 敬う | general | godan verb
completed | 00418_wa | 和〜 | general | prefix
completed | 00421_wata | 綿 | general | noun
completed | 00423_yakume | 役目 | general | noun
completed | 00424_yo | 世 | general | noun
completed | 00425_yomi | 読み | general | noun
completed | 00427_yooroppa | ヨーロッパ | general | noun
completed | 00428_yotto | ヨット | general | noun
completed | 00430_yurui | 緩い | general | i-adjective
completed | 00431_yuu | 優 | general | noun
completed | 00432_yuumoa | ユーモア | general | noun
completed | 00433_zashiki | 座敷 | general | noun
completed | 00434_zemi | ゼミ | general | noun
completed | 00435_zettai | 絶対 | general | adverb, noun, no-adjective
completed | 00437_zukan | 図鑑 | general | noun
completed | 00438_zunou | 頭脳 | general | noun
completed | 00439_arai | 粗い | general | i-adjective
completed | 00440_bu | 〜部 | general | suffix
completed | 00441_fukushi | 副詞 | general | noun
completed | 00442_horu | 掘る | general | godan verb
completed | 00443_i | 〜位 | general | suffix, counter
completed | 00445_kaihou | 開放 | general | noun, suru-verb
completed | 00446_kaisei | 改正 | general | noun, suru-verb
completed | 00447_kaitou | 解答 | general | noun, suru-verb
completed | 00448_kakou | 火口 | general | noun
