# Expand Short Notes - Tracking File
# Generated: 2026-01-26
# Total entries: 978
#
# Format: STATUS | FILE_PATH | HEADWORD | NOTES_LENGTH | TIER | POS
# STATUS: pending, in_progress, completed, skipped
#
# This file tracks which entries need their notes expanded.
# Update STATUS as you work through entries.
#

completed | entries/04500/04803_shouhizei.json | {消費税｜しょうひぜい} | 227 | general | noun
completed | entries/05500/05798_furoshiki.json | {風呂敷｜ふろしき} | 227 | core | noun
completed | entries/00500/00504_kara.json | から | 228 | basic | particle
completed | entries/00500/00914_aida.json | {間｜あいだ} | 228 | basic | noun
completed | entries/01500/01830_shussekisuru.json | {出席｜しゅっせき}する | 228 | general | noun, verb (suru)
completed | entries/01500/01889_utagau.json | {疑｜うたが}う | 228 | general | verb (godan)
completed | entries/01500/01944_korosu.json | {殺｜ころ}す | 228 | core | verb (godan)
completed | entries/01500/01960_tsuku.json | {付｜つ}く | 228 | general | verb (godan)
completed | entries/01500/01981_hirogeru.json | {広｜ひろ}げる | 228 | general | verb (ichidan)
completed | entries/02000/02156_sumi.json | {角｜すみ} | 228 | general | noun
completed | entries/02000/02204_kuni.json | {国｜くに} | 228 | basic | noun
completed | entries/02000/02214_sato.json | {里｜さと} | 228 | general | noun
completed | entries/02000/02348_hageshii.json | {激｜はげ}しい | 228 | core | i-adjective
completed | entries/02000/02355_suki.json | {好｜す}き | 228 | basic | na-adjective
completed | entries/02000/02400_hayaru.json | {流行｜はや}る | 228 | general | godan verb
completed | entries/02000/02406_fukamaru.json | {深｜ふか}まる | 228 | general | godan verb
completed | entries/04000/04135_ouyou.json | {応用｜おうよう} | 228 | general | noun
completed | entries/05000/05058_ginkouin.json | {銀行員｜ぎんこういん} | 228 | core | noun
completed | entries/05500/05512_meisei.json | {名声｜めいせい} | 228 | general | noun
completed | entries/05500/05560_meian.json | {明暗｜めいあん} | 228 | general | noun
completed | entries/05500/05614_dokuji.json | {独自｜どくじ} | 228 | general | na-adjective
completed | entries/05500/05848_chokkanteki.json | {直感的｜ちょっかんてき} | 228 | general | na-adjective
completed | entries/08000/08124_enkin.json | {遠近｜えんきん} | 228 | general | noun
completed | entries/00500/00790_kotae.json | {答｜こた}え | 229 | basic | noun
completed | entries/00500/00965_maeni.json | {前｜まえ}に | 229 | basic | expression
completed | entries/01500/01921_oyobu.json | {及｜およ}ぶ | 229 | general | verb (godan)
completed | entries/01500/01934_kizutsuku.json | {傷｜きず}つく | 229 | general | verb (godan)
completed | entries/02000/02099_koeru.json | {越｜こ}える | 229 | core | verb (ichidan)
completed | entries/02000/02146_kata.json | {型｜かた} | 229 | general | noun
completed | entries/02000/02272_ebi.json | {海老｜えび} | 229 | general | noun
completed | entries/02000/02385_nukeru.json | {抜｜ぬ}ける | 229 | core | ichidan verb
completed | entries/02500/02704_ketsuron.json | {結論｜けつろん} | 229 | core | noun
completed | entries/02500/02713_geki.json | {劇｜げき} | 229 | general | noun
completed | entries/02500/02870_kiiro.json | {黄色｜きいろ} | 229 | basic | noun / no-adjective
completed | entries/04500/04816_tassei.json | {達成｜たっせい} | 229 | general | noun (verbal)
completed | entries/05000/05221_burando.json | ブランド | 229 | general | noun
completed | entries/05500/05626_zantei.json | {暫定｜ざんてい} | 229 | core | noun
completed | entries/00000/00140_kaiteki.json | {快適｜かいてき} | 230 | core | na-adjective
completed | entries/00500/00633_jitensha.json | {自転車｜じてんしゃ} | 230 | basic | noun
completed | entries/00500/00707_jouzu.json | {上手｜じょうず} | 230 | core | adjective (na-adjective), noun
completed | entries/01000/01073_gakki.json | {学期｜がっき} | 230 | core | noun
completed | entries/01500/01936_kireru.json | {切｜き}れる | 230 | core | verb (ichidan)
completed | entries/01500/01945_komeru.json | {込｜こ}める | 230 | core | verb (ichidan)
completed | entries/01500/01964_tsumoru.json | {積｜つ}もる | 230 | general | verb (godan)
completed | entries/02000/02002_date.json | 〜{建｜だ}て | 230 | general | suffix
completed | entries/02000/02228_tora.json | {虎｜とら} | 230 | general | noun
completed | entries/02000/02234_namae.json | {名前｜なまえ} | 230 | basic | noun
completed | entries/02000/02387_negau.json | {願｜ねが}う | 230 | general | godan verb
completed | entries/02500/02897_karendaa.json | カレンダー | 230 | core | noun
completed | entries/04500/04773_shikuhakku.json | {四苦八苦｜しくはっく} | 230 | general | noun, verb (suru)
completed | entries/04500/04839_kakusa.json | {格差｜かくさ} | 230 | general | noun
completed | entries/05000/05112_moderu.json | モデル | 230 | general | noun
completed | entries/05000/05116_gaido.json | ガイド | 230 | general | noun
completed | entries/05500/05552_daikei.json | {台形｜だいけい} | 230 | general | noun
completed | entries/05500/05575_ikkansei.json | {一貫性｜いっかんせい} | 230 | general | noun
completed | entries/05500/05804_hatsumoude.json | {初詣｜はつもうで} | 230 | general | noun, verb (suru)
completed | entries/08000/08146_baromeetaa.json | バロメーター | 230 | general | noun
completed | entries/00000/00333_ondo.json | {温度｜おんど} | 231 | general | noun
completed | entries/00500/00697_go.json | {五｜ご} | 231 | basic | number
completed | entries/00500/00745_rainen.json | {来年｜らいねん} | 231 | basic | noun, adverb
completed | entries/00500/00776_gohan.json | ご{飯｜はん} | 231 | basic | noun
completed | entries/00500/00963_kore.json | これ | 231 | basic | pronoun
completed | entries/00500/00993_sono.json | その | 231 | basic | pre-noun adjectival
completed | entries/01000/01019_chawan.json | {茶碗｜ちゃわん} | 231 | core | noun
completed | entries/01000/01155_imi.json | {意味｜いみ} | 231 | general | noun, suru verb
completed | entries/02000/02012_ureru.json | {売｜う}れる | 231 | core | verb (ichidan)
completed | entries/02000/02073_tatamu.json | {畳｜たた}む | 231 | general | verb (godan)
completed | entries/02000/02147_kami.json | {神｜かみ} | 231 | general | noun
completed | entries/02000/02233_tsuyu.json | {露｜つゆ} | 231 | general | noun
completed | entries/02000/02409_fusegu.json | {防｜ふせ}ぐ | 231 | general | godan verb
completed | entries/02500/02916_choudo.json | ちょうど | 231 | basic | adverb
completed | entries/02500/02955_futoi.json | {太｜ふと}い | 231 | general | i-adjective
completed | entries/04500/04836_hinkon.json | {貧困｜ひんこん} | 231 | general | noun, na-adjective
completed | entries/05000/05428_wanwan.json | わんわん | 231 | general | adverb
completed | entries/05000/05486_tanpopo.json | たんぽぽ | 231 | core | noun
completed | entries/06000/06349_kouteki.json | {公的｜こうてき} | 231 | general | na-adjective
completed | entries/01000/01055_shougakkou.json | {小学校｜しょうがっこう} | 232 | core | noun
completed | entries/01000/01094_shucchou.json | {出張｜しゅっちょう} | 232 | general | noun, suru verb
completed | entries/02000/02013_egaku.json | {描｜えが}く | 232 | general | verb (godan)
completed | entries/02000/02043_karu.json | {刈｜か}る | 232 | general | verb (godan)
completed | entries/02000/02064_sumasu.json | {済｜す}ます | 232 | core | verb (godan)
completed | entries/02000/02203_kumo.json | {蜘蛛｜くも} | 232 | core | noun
completed | entries/02500/02878_koucha.json | {紅茶｜こうちゃ} | 232 | basic | noun
completed | entries/02500/02888_zenbu.json | {全部｜ぜんぶ} | 232 | basic | noun / adverb
completed | entries/02500/02915_chairo.json | {茶色｜ちゃいろ} | 232 | general | noun / no-adjective
completed | entries/04500/04757_kuraudo.json | クラウド | 232 | general | noun
completed | entries/04500/04832_hyoujun.json | {標準｜ひょうじゅん} | 232 | general | noun, no-adjective
completed | entries/04500/04859_senmongakkou.json | {専門学校｜せんもんがっこう} | 232 | general | noun
completed | entries/05000/05472_sougaku.json | {総額｜そうがく} | 232 | general | noun
completed | entries/05500/05842_kibikibi.json | きびきび | 232 | core | adverb, verb (suru)
completed | entries/00500/00733_mazui.json | {不味｜まず}い | 233 | basic | adjective (i-adjective)
